Aruba,ABW,"Elderly literacy rate, population 65+ years, both sexes (%)",UIS.LR.AG65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.71164,,,,,,,,,,88.86238,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,88.86238,2010
Aruba,ABW,"Elderly literacy rate, population 65+ years, female (%)",UIS.LR.AG65.F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.56572,,,,,,,,,,87.80247,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,87.80247,2010
Aruba,ABW,"Elderly literacy rate, population 65+ years, male (%)",UIS.LR.AG65.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.28078,,,,,,,,,,90.32478,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,90.32478,2010
Aruba,ABW,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0186,,,,,,,,,,97.7763,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,97.7763,2010
Aruba,ABW,"Literacy rate, population 25-64 years, female (%)",UIS.LR.AG25T64.F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.97571,,,,,,,,,,97.97445,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,97.97445,2010
Aruba,ABW,"Literacy rate, population 25-64 years, male (%)",UIS.LR.AG25T64.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.06622,,,,,,,,,,97.54666,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,97.54666,2010
Aruba,ABW,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.02641,,,,,,,,,,99.13841,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,99.13841,2010
Aruba,ABW,"Youth literacy rate, population 15-24 years, female (%)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.16637,,,,,,,,,,99.3231,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,99.3231,2010
Aruba,ABW,"Youth literacy rate, population 15-24 years, male (%)",SE.ADT.1524.LT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.88176,,,,,,,,,,98.96573,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,98.96573,2010
Azerbaijan,AZE,"Elderly literacy rate, population 65+ years, both sexes (%)",UIS.LR.AG65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.31221,,,,,,,,95.47572,,98.2443,98.08531,98.11782,98.17912,98.28427,98.31786,98.35486,98.41533,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,98.41533,2016
